topic,stop,stemmer,model,ap,rbp,p10,ndcg,twist,err
416,nostop,nolug,dfree,0.3400,0.3063,0.2000,0.7638,0.4563,0.3204
417,nostop,nolug,dfree,0.2979,0.6855,0.6000,0.6657,0.4081,0.6751
418,nostop,nolug,dfree,0.0586,0.6373,0.5000,0.1989,0.1299,0.6855
419,nostop,nolug,dfree,0.1990,0.4755,0.4000,0.3723,0.2906,0.6576
420,nostop,nolug,dfree,0.4321,0.9073,0.9000,0.7538,0.5078,0.6931
421,nostop,nolug,dfree,0.0881,0.2371,0.1000,0.4109,0.2722,0.5352
422,nostop,nolug,dfree,0.2555,0.5934,0.5000,0.6170,0.3937,0.6329
423,nostop,nolug,dfree,0.6714,0.8345,0.9000,0.8856,0.6074,0.6780
424,nostop,nolug,dfree,0.0353,0.2621,0.2000,0.2093,0.1354,0.3152
425,nostop,nolug,dfree,0.1599,0.8419,0.8000,0.3223,0.2568,0.6913
426,nostop,nolug,dfree,0.0078,0.0337,0.1000,0.1070,0.0639,0.0718
427,nostop,nolug,dfree,0.1967,0.7173,0.5000,0.4673,0.3366,0.6910
428,nostop,nolug,dfree,0.0923,0.3223,0.5000,0.3976,0.2991,0.2304
429,nostop,nolug,dfree,0.2161,0.3112,0.3000,0.6563,0.3487,0.3327
430,nostop,nolug,dfree,0.5185,0.4100,0.3000,0.9297,0.5364,0.6091
431,nostop,nolug,dfree,0.1539,0.7477,0.8000,0.3888,0.2433,0.6774
432,nostop,nolug,dfree,0.0141,0.0174,0.0000,0.2045,0.0932,0.0558
433,nostop,nolug,dfree,0.0594,0.1843,0.2000,0.2976,0.2279,0.1785
434,nostop,nolug,dfree,0.3624,0.9629,0.9000,0.6414,0.3236,0.6931
435,nostop,nolug,dfree,0.0500,0.3711,0.2000,0.2858,0.2040,0.6370
436,nostop,nolug,dfree,0.0219,0.2071,0.2000,0.1388,0.1192,0.2221
437,nostop,nolug,dfree,0.0076,0.0046,0.0000,0.1666,0.0889,0.0371
438,nostop,nolug,dfree,0.1242,0.2093,0.2000,0.4976,0.3198,0.2190
439,nostop,nolug,dfree,0.0140,0.0657,0.1000,0.1641,0.0537,0.0952
440,nostop,nolug,dfree,0.0208,0.0005,0.0000,0.2773,0.1154,0.0271
441,nostop,nolug,dfree,0.6000,0.7867,0.7000,0.8361,0.5479,0.6924
442,nostop,nolug,dfree,0.0049,0.1280,0.1000,0.0636,0.0302,0.1731
443,nostop,nolug,dfree,0.1117,0.1378,0.2000,0.4691,0.2885,0.1164
444,nostop,nolug,dfree,0.4747,0.7176,0.7000,0.7745,0.5048,0.6898
445,nostop,nolug,dfree,0.1031,0.3911,0.5000,0.3227,0.2189,0.2522
446,nostop,nolug,dfree,0.0692,0.4098,0.4000,0.2997,0.1694,0.2679
447,nostop,nolug,dfree,0.3679,0.5186,0.3000,0.7341,0.3954,0.6753
448,nostop,nolug,dfree,0.0379,0.2658,0.2000,0.1996,0.1390,0.5472
449,nostop,nolug,dfree,0.1040,0.6131,0.4000,0.3756,0.2605,0.6861
450,nostop,nolug,dfree,0.4917,0.9137,0.9000,0.7679,0.5296,0.6915
401,nostop,nolug,dirichletlm,0.0005,0.0000,0.0000,0.0281,0.0070,0.0049
402,nostop,nolug,dirichletlm,0.1736,0.5852,0.4000,0.5201,0.3105,0.6815
403,nostop,nolug,dirichletlm,0.5335,0.7293,0.7000,0.8294,0.5161,0.6869
404,nostop,nolug,dirichletlm,0.1406,0.3250,0.4000,0.5352,0.3301,0.3266
