stop,stemmer,model,ap,rbp,p10,ndcg,twist,err,ssapw,ssrbpw,ssp10w,ssndcgw,sstwistw,sserrw
lucene,porter,dirichletlm,0.154222,0.341478,0.326,0.487974,0.25348,0.358976,0.8035489058,3.5827284058,3.3362,682.287016591,0.81825184,4.3543386512
lucene,porter,dlh,0.175118,0.372666,0.368,0.523638,0.29188,0.335812,0.7169801338,3.1145729122,3.1888,695.906687688,0.76165276,3.2445864728
lucene,porter,dph,0.21818,0.436892,0.394,0.577846,0.31333,0.41231,0.90090708,3.4515776368,3.2882,779.200105306,0.814498745,3.471843045
lucene,porter,hiemstralm,0.116394,0.24688,0.234,0.446738,0.227564,0.261524,0.4005998882,2.6249383,2.2322,716.086895073,0.7053035352,3.5350626112
lucene,porter,ifb2,0.20489,0.407446,0.372,0.549096,0.302046,0.373926,0.943665385,3.8053801042,3.4408,730.902374471,0.9129649242,3.2781034562
lucene,porter,inb2,0.19349,0.399408,0.372,0.534514,0.300584,0.408596,0.816900925,3.1533099168,3.0408,714.279429527,0.8417549272,3.8745189592
lucene,porter,inl2,0.211234,0.419372,0.402,0.569776,0.309834,0.410604,0.9083904322,3.7707246008,3.6898,770.731832447,0.8940569522,3.9363163792
lucene,porter,inexpb2,0.215878,0.424654,0.384,0.56966,0.322292,0.41163,0.9588598458,3.6619649242,3.3072,772.36610817,0.7870690768,3.647107825
lucene,porter,jskls,0.20429,0.407748,0.376,0.56625,0.311268,0.39028,0.896804365,3.3961421848,3.3112,767.3195392,0.8192195288,3.5813201
lucene,porter,lemurtfidf,0.22259,0.42302,0.394,0.560218,0.32611,0.385426,1.538601305,3.83225856,3.6682,758.164679315,1.335722505,3.5646131962
lucene,porter,lgd,0.19137,0.385034,0.346,0.549668,0.298706,0.386346,0.928523125,3.1104308922,2.9642,742.813664049,0.7953560082,3.6578986842
lucene,porter,pl2,0.217454,0.441166,0.404,0.551344,0.322224,0.418864,1.3708803442,3.9777223322,3.6992,747.025278311,1.2333470912,4.0172867952
lucene,porter,tfidf,0.211576,0.43014,0.4,0.56426,0.308176,0.43082,0.8604926512,3.70231672,3.68,770.65549363,0.8462257312,4.15614036
lucene,snowballPorter,bb2,0.207314,0.41904,0.378,0.55068,0.31163,0.434204,0.9157472402,3.63946306,3.6258,749.79707353,0.829346845,4.0743698992
lucene,snowballPorter,bm25,0.213016,0.428776,0.398,0.565982,0.313122,0.411102,0.8584293872,3.7540424912,3.7898,777.697636572,0.8707432458,3.6725403098
lucene,snowballPorter,dfiz,0.158728,0.350534,0.336,0.505656,0.26272,0.354296,0.7955051808,3.7647475922,3.3352,713.205478095,0.6762401,4.3642560392
lucene,snowballPorter,dfree,0.203082,0.404378,0.374,0.559672,0.304514,0.387834,0.9071518338,3.3249033458,3.3562,769.720095303,0.8809452202,3.5591049122
lucene,snowballPorter,dirichletlm,0.153498,0.34253,0.324,0.488574,0.251552,0.359074,0.7780387098,3.608141025,3.3112,716.526845633,0.8047879048,4.3789863562
lucene,snowballPorter,dlh,0.176724,0.376072,0.37,0.52521,0.291884,0.33734,0.7162999512,3.1304955808,3.165,729.243923386,0.7791545272,3.2257567
lucene,snowballPorter,dph,0.21921,0.440126,0.4,0.578098,0.313476,0.41315,0.900299125,3.4960129562,3.46,812.599141938,0.8185464912,3.479642185
lucene,snowballPorter,hiemstralm,0.11777,0.24938,0.236,0.447356,0.229408,0.262244,0.408046785,2.70374094,2.2352,754.987888993,0.7016786568,3.5797878032
lucene,snowballPorter,ifb2,0.208778,0.41113,0.378,0.55619,0.305012,0.383328,0.9260740458,3.841021445,3.5258,773.900318273,0.8859950528,3.4318597208
lucene,snowballPorter,inb2,0.194246,0.401842,0.37,0.535718,0.300076,0.402212,0.8100047042,3.1902018818,2.985,747.457037472,0.8538416112,3.7922461728
lucene,snowballPorter,inl2,0.211858,0.420018,0.4,0.570974,0.306322,0.410628,0.9048060218,3.7753093738,3.64,805.609029585,0.9173743258,3.9410247208
lucene,snowballPorter,inexpb2,0.217888,0.427206,0.388,0.571396,0.316686,0.411868,0.9693919728,3.7024516882,3.3928,808.367202226,0.8864684602,3.6461954288
lucene,snowballPorter,jskls,0.2052,0.410782,0.38,0.565886,0.309218,0.393678,0.90586774,3.4751180538,3.36,798.862178538,0.7885577338,3.5747238058
lucene,snowballPorter,lemurtfidf,0.222866,0.423416,0.394,0.560248,0.32677,0.38547,1.5345693122,3.8315711872,3.6682,790.286042033,1.350361225,3.564369045
lucene,snowballPorter,lgd,0.191442,0.385388,0.348,0.549532,0.299018,0.388426,0.9200018418,3.0898201728,2.9048,774.476338346,0.8239273338,3.6846085362
lucene,snowballPorter,pl2,0.218476,0.443938,0.41,0.551982,0.322838,0.419274,1.3646189912,3.9938883978,3.765,779.911684805,1.2562602178,4.0207244162
